risk_rank,case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,answer_grounding,review_flags,near_duplicate_of,question_verdict,revised_question,reviewed_by,notes
181,gq-103,SR023,concept,사이버 공격에 대한 국제법적 대응의 한계는?,"공격 귀속의 어려움, 비례성 원칙 적용 모호, 국가 간 합의 부재",pub:kida:cb834625898e6eafe83599beaaee859c,0.50,,,(decided),,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
182,gq-106,SR026,concept,한반도 비핵화 협상의 교훈은?,"검증 메커니즘 중요, 단계적 접근 한계, 상호 신뢰구축 필수",pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,0.67,,,(decided),,,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
183,gq-107,SR027,concept,군 내 정신건강 관리의 필요성은?,"스트레스, 적응 문제, 극단적 선택 예방, 전투력 유지에 직결",pub:kida:d70a63c982c5d278d3e8700d5f977fca,0.56,,,(decided),,,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
184,gq-112,SR032,concept,국방 데이터 활용의 과제는?,"보안 등급 관리, 표준화 부재, 분석 인력 부족, 법제도 정비 필요",pub:kida:65126140b8accf27c4602672371a65e3,0.64,,,(decided),,,매핑: 2023_심승배_국방정책AI개념설계연구
185,gq-121,SR041,concept,민군 기술 융합의 촉진 방안은?,"기술 이전 절차 간소화, 공동 R&D, 벤처 투자, 인력 교류",pub:kida:c3041ffbe334de2bf5d03a6db540e820,0.89,,,(decided),,,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토
186,gq-131,MH016,multi_hop,AI 기반 자율무기체계 도입과 국제인도법 준수의 균형점을 어떻게 찾을 수 있는가?,"인간-기계 협력 체계, 의미있는 인간 통제(MHC) 원칙, 무기사용규칙 명확화, 국제 규범 형성 참여",pub:kida:780ab1feb626e0554a8e217b5547378f,0.50,,,(decided),,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 다중 문서 근거 필요
187,gq-144,MH029,multi_hop,AI 기반 북한 군사정세 분석과 기존 정보분석 방법의 상호보완 방안은?,"AI 대량 데이터 분석 + 전문가 맥락 판단, 크로스체크 체계, 신뢰도 검증 프로세스",pub:kida:0f8510f865a0e83e2a77167d0e94b546,0.92,,,(decided),,,매핑: 2023_이중구_인공지능기반북한군사정세분석시범연구 | 다중 문서 근거 필요
188,gq-151,MH036,multi_hop,MRO 시장 발전과 군수지원 효율화 전략의 연계 방안은?,"민간 MRO 역량 활용, 예측정비 도입, 디지털 트윈, 부품 공급망 최적화",pub:kida:a0c8315faf322595981c996721376447,0.73,,,(decided),,,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향 | 다중 문서 근거 필요
189,gq-163,MH048,multi_hop,국방정책 AI 개념설계 연구 결과를 실제 정책 의사결정에 적용하는 방안은?,"정책 시뮬레이션, 데이터 기반 분석 지원, 전문가 의사결정 보조, 점진적 도입",pub:kida:65126140b8accf27c4602672371a65e3,0.64,,,(decided),,,매핑: 2023_심승배_국방정책AI개념설계연구 | 다중 문서 근거 필요
190,gq-164,MH049,multi_hop,신영역 작전 수행 개념 발전과 한반도 미사일 전략의 연계 방향은?,"우주/사이버/전자전 통합, 다영역 동시작전, 미사일 정밀타격-ISR 연계",pub:kida:d97f67aac09c745bce808e48ca694533,0.90,,,(decided),,,매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 다중 문서 근거 필요
191,gq-166,TR016,abstention,한국군의 우주사령부 창설 일자는?,해당 정보가 제공된 문서에 없습니다. 문서에서는 우주력 운영에 대한 제언을 다루고 있습니다.,,,,,(decided),,,확정되지 않은 미래 조직 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
192,gq-168,TR018,abstention,KF-21 보라매의 최종 수출 가격은?,구체적인 수출 가격 정보는 문서에 없습니다.,,,,,(decided),,,미확정 상업 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
193,gq-179,TR029,abstention,한미 연합훈련에서 사용된 실탄의 수량은?,훈련 관련 구체적 군수 정보는 문서에 없습니다.,,,,,(decided),,,군사 민감 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
194,gq-184,TR034,abstention,한국의 대북 선제타격 예정일은?,"선제타격 일정에 대한 정보는 문서에 없으며, 이러한 계획은 공개되지 않습니다.",,,,,(decided),,,가상의 계획 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
195,gq-190,TR040,abstention,GraphRAG가 국방 분야에 실전 배치된 사례는?,GraphRAG의 국방 실전 배치 사례는 문서에 없습니다. 이 시스템은 연구 목적으로 개발되었습니다.,,,,,(decided),,,연구 시스템을 실전으로 오해 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
196,gq-191,TR041,abstention,한국이 우주무기를 개발한 시기는?,한국의 우주무기 개발에 대한 구체적 정보는 문서에 없습니다.,,,,,(decided),,,미확인 계획 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
197,gq-192,TR042,abstention,NATO 가입을 위한 한국의 신청 일자는?,"한국은 NATO 회원국이 아니며, 가입 신청에 대한 정보는 문서에 없습니다.",,,,,(decided),,,잘못된 전제 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
198,gq-193,TR043,abstention,북한 핵시설을 타격한 한국군의 작전 기록은?,"그러한 작전 기록은 문서에 없으며, 해당 작전은 수행된 적이 없습니다.",,,,,(decided),,,가상의 작전 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
199,gq-196,TR046,abstention,EMP 무기로 공격받은 한국 시설의 피해 규모는?,EMP 공격 피해 사례는 문서에 없습니다. 문서에서는 EMP 위협에 대해 다루고 있습니다.,,,,,(decided),,,가상의 사건 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
200,gq-198,TR048,abstention,한국형 핵공유 합의서의 세부 조항은?,한국형 핵공유 합의서에 대한 구체적 조항은 문서에 없습니다. 문서에서는 옵션 검토를 다루고 있습니다.,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,,,,(decided),,,아직 합의되지 않은 내용 | 매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
